R165,43723.122404,0.081093,43723.215404,43723.296497
R166,43723.919520,0.142038,43723.919551,43724.061590
R167,43724.523914,0.033994,43724.524020,43724.558018
R168,43724.752441,0.089615,43724.752477,43724.842096
R169,43724.919627,0.024969,43724.919667,43724.944638
R170,43725.232600,0.006276,43725.232630,43725.238907
R171,43725.287299,0.086823,43725.287334,43725.374157
R172,43725.325379,0.028338,43725.374203,43725.402541
R173,43725.476052,0.007964,43725.476087,43725.484052
R174,43725.610271,0.227135,43725.610299,43725.837436
R175,43725.796126,0.025709,43725.837492,43725.863203
R176,43726.088170,0.119546,43726.088206,43726.207753
R177,43726.446620,0.014259,43726.446677,43726.460939
R178,43726.669453,0.081884,43726.669487,43726.751373
R179,43727.384811,0.019416,43727.384846,43727.404264
R180,43727.627929,0.046289,43727.627959,43727.674250
R181,43727.899777,0.041793,43727.899804,43727.941599
R182,43728.490341,0.032879,43728.490368,43728.523248
R183,43728.583755,0.084827,43728.583783,43728.668611
R184,43729.019440,0.034405,43729.019470,43729.053876
R185,43730.415977,0.012189,43730.416058,43730.428250
R186,43731.175633,0.000452,43731.175741,43731.176200
R187,43731.352075,0.124078,43731.352126,43731.476208
R188,43731.861889,0.010149,43731.861957,43731.872110
R189,43731.977889,0.106380,43731.977977,43732.084361
R190,43732.646797,0.049684,43732.646846,43732.696532
R191,43732.663668,0.102558,43732.696594,43732.799153
R192,43734.097987,0.053521,43734.098119,43734.151648
R193,43734.177064,0.008219,43734.177103,43734.185326
R194,43734.845082,0.040226,43734.845154,43734.885387
R195,43734.880120,0.089198,43734.885477,43734.974677
R196,43734.999881,0.011768,43734.999927,43735.011697
R197,43735.551992,0.004575,43735.552134,43735.556713
R198,43735.569744,0.126507,43735.569791,43735.696300
R199,43735.773795,0.048700,43735.773834,43735.822536
R200,43736.166479,0.074226,43736.166532,43736.240763
R201,43736.208813,0.062901,43736.240839,43736.303741
R202,43736.496989,0.037441,43736.497078,43736.534523
R203,43736.798414,0.182978,43736.798472,43736.981453
R204,43736.919422,0.015509,43736.981544,43736.997054
R205,43737.135254,0.062168,43737.135291,43737.197460
R206,43737.448955,0.075569,43737.449022,43737.524595
R207,43737.770655,0.147569,43737.770743,43737.918317
R208,43737.859454,0.008672,43737.918429,43737.927103
R209,43737.883731,0.015492,43737.927184,43737.942678
R210,43738.741629,0.021294,43738.741698,43738.762994
R211,43738.960846,0.028638,43738.960931,43738.989576
R212,43739.545357,0.175501,43739.545431,43739.723500
R213,43739.692731,0.140575,43739.723607,43739.864188
R214,43739.833456,0.003084,43739.864281,43739.867367
R215,43740.192337,0.125520,43740.192439,43740.317968
R216,43740.291684,0.150710,43740.318117,43740.468832
R217,43740.619575,0.020813,43740.619685,43740.640501
R218,43740.742490,0.078991,43740.742541,43740.821534
R219,43740.816114,0.093560,43740.821591,43740.915151
R220,43740.854891,0.105920,43740.915190,43741.021111
R221,43741.363147,0.042734,43741.363247,43741.405987
R222,43741.437768,0.047431,43741.437803,43741.485236
R223,43741.564237,0.040613,43741.564266,43741.604880
R224,43741.651872,0.014008,43741.651940,43741.665954
R225,43741.905682,0.001224,43741.905828,43741.907059
R226,43742.175965,0.040128,43742.176032,43742.216164
R227,43742.335550,0.111429,43742.335637,43742.447075
R228,43742.457114,0.087404,43742.457146,43742.544554
R229,43742.557732,0.210052,43742.557763,43742.767820
R230,43742.825693,0.138300,43742.825743,43742.964046
R231,43743.211908,0.031158,43743.211993,43743.243154
R232,43743.610995,0.000502,43743.611093,43743.611599
R233,43743.957204,0.154777,43743.957285,43744.112066
R234,43744.211111,0.085763,43744.211191,43744.296958
R235,43744.532406,0.042667,43744.532542,43744.575214
R236,43744.776157,0.105744,43744.776237,43744.881988
R237,43744.926132,0.094385,43744.926170,43745.020557
R238,43745.465833,0.002787,43745.465863,43745.468651
R239,43745.521192,0.096456,43745.521246,43745.617704
R240,43745.543171,0.080404,43745.617774,43745.698184
R241,43745.612524,0.069912,43745.698300,43745.768212
R242,43746.014270,0.000477,43746.014316,43746.014796
R243,43746.014741,0.025269,43746.014856,43746.040126
R244,43746.136178,0.162400,43746.136213,43746.298615
R245,43746.491372,0.034797,43746.491449,43746.526250
R246,43746.558073,0.176004,43746.558109,43746.734113
R247,43746.925025,0.031313,43746.925104,43746.956421
R248,43747.278238,0.017177,43747.278364,43747.295548
R249,43747.999344,0.058341,43747.999438,43748.057785
R250,43748.056420,0.093829,43748.057881,43748.151711
R251,43748.645084,0.017675,43748.645114,43748.662789
R252,43749.426853,0.102034,43749.426889,43749.528925
R253,43749.594149,0.066062,43749.594179,43749.660242
